region_id,name,name_kana,name_roman,order,latitude,longitude
1,北海道,ほっかいどう,hokkai do,1,43.06417,141.34694
1,青森県,あおもりけん,aomori ken,2,40.82444,140.74
1,岩手県,いわてけん,iwate ken,3,39.70361,141.1525
1,宮城県,みやぎけん,miyagi ken,4,38.26889,140.87194
1,秋田県,あきたけん,akita ken,5,39.71861,140.1025
1,山形県,やまがたけん,yamgata ken,6,38.24056,140.36333
1,福島県,ふくしまけん,fukushima ken,7,37.75,140.46778
2,東京都,とうきょうと,tokyo to,1,35.68944,139.69167
2,神奈川県,かながわけん,kanagawa ken,2,35.44778,139.6425
2,埼玉県,さいたまけん,saitama ken,3,35.85694,139.64889
2,千葉県,ちばけん,chiba ken,4,35.60472,140.12333
2,茨城県,いばらきけん,ibaraki ken,5,36.34139,140.44667
2,栃木県,とちぎけん,tochigi ken,6,36.56583,139.88361
2,群馬県,ぐんまけん,gumma ken,7,36.39111,139.06083
2,山梨県,やまなしけん,yamanashi ken,8,35.66389,138.56833
2,長野県,ながのけん,nagano ken,9,36.65139,138.18111
3,新潟県,にいがたけん,niigata ken,1,37.90222,139.02361
3,富山県,とやまけん,toyama ken,2,36.69528,137.21139
3,石川県,いしかわけん,ishikawa ken,3,36.59444,136.62556
3,福井県,ふくいけん,fukui ken,4,36.06528,136.22194
3,愛知県,あいちけん,aichi ken,5,35.18028,136.90667
3,岐阜県,ぎふけん,gifu ken,6,35.39111,136.72222
3,静岡県,しずおかけん,shizuoka ken,7,34.97694,138.38306
3,三重県,みえけん,mie ken,8,34.73028,136.50861
4,大阪府,おおさかふ,osaka fu,1,34.68639,135.52
4,兵庫県,ひょうごけん,hyogo ken,2,34.69139,135.18306
4,京都府,きょうとふ,kyoto fu,3,35.00444,135.86833
4,滋賀県,しがけん,shiga ken,4,35.02139,135.75556
4,奈良県,ならけん,nara ken,5,34.68528,135.83278
4,和歌山県,わかやまけん,wakayamaken,6,34.22611,135.1675
5,鳥取県,とっとりけん,tottori ken,1,35.50361,134.23833
5,島根県,しまねけん,shimane ken,2,35.47222,133.05056
5,岡山県,おかやまけん,okayama ken,3,34.66167,133.935
5,広島県,ひろしまけん,hiroshima ken,4,34.39639,132.45944
5,山口県,やまぐちけん,yamaguchi ken,5,34.18583,131.47139
5,徳島県,とくしまけん,tokushima ken,6,34.06583,134.55944
5,香川県,かがわけん,ehime ken,7,34.34028,134.04333
5,愛媛県,えひめけん,kochi ken,8,33.84167,132.76611
5,高知県,こうちけん,tokusima,9,33.55972,133.53111
6,福岡県,ふくおかけん,fukuoka ken,1,33.60639,130.41806
6,佐賀県,さがけん,saga ken,2,33.24944,130.29889
6,長崎県,ながさきけん,nagasaki ken,3,32.74472,129.87361
6,熊本県,くまもとけん,kumamoto ken,4,32.78972,130.74167
6,大分県,おおいたけん,oita ken,5,33.23806,131.6125
6,宮崎県,みやざきけん,miyazaki ken,6,31.91111,131.42389
6,鹿児島県,かごしまけん,kagosima ken,7,31.56028,130.55806
6,沖縄県,おきなわけん,okinawa ken,8,26.2125,127.68111
7,その他,そのた,sonota,1,38,138